Level,Category_Name,Forecast_Month,Forecast_Demand,Model
Category,Lighting,2017-10-01,78.0,Holt-Winters
Category,Lighting,2017-11-01,108.0,Holt-Winters
Category,Lighting,2017-12-01,63.0,Holt-Winters
Category,Medicine,2017-01-01,0.0,Holt-Winters
Category,Medicine,2017-02-01,1344.0,Holt-Winters
Category,Medicine,2017-03-01,1446.0,Holt-Winters
Category,Medicine,2017-04-01,240.0,Holt-Winters
Category,Medicine,2017-05-01,2068.0,Holt-Winters
Category,Medicine,2017-06-01,0.0,Holt-Winters
Category,Medicine,2017-07-01,409.0,Holt-Winters
Category,Medicine,2017-08-01,0.0,Holt-Winters
Category,Medicine,2017-09-01,889.0,Holt-Winters
Category,Medicine,2017-10-01,6979.0,Holt-Winters
Category,Medicine,2017-11-01,4800.0,Holt-Winters
Category,Medicine,2017-12-01,0.0,Holt-Winters
Category,Mobile_Devices,2016-01-01,1491.0,Holt-Winters
Category,Mobile_Devices,2016-02-01,1448.0,Holt-Winters
Category,Mobile_Devices,2016-03-01,2287.0,Holt-Winters
Category,Mobile_Devices,2016-04-01,1604.0,Holt-Winters
Category,Mobile_Devices,2016-05-01,934.0,Holt-Winters
Category,Mobile_Devices,2016-06-01,2436.0,Holt-Winters
Category,Mobile_Devices,2016-07-01,1332.0,Holt-Winters
Category,Mobile_Devices,2016-08-01,2640.0,Holt-Winters
Category,Mobile_Devices,2016-09-01,2364.0,Holt-Winters
Category,Mobile_Devices,2016-10-01,1653.0,Holt-Winters
Category,Mobile_Devices,2016-11-01,1035.0,Holt-Winters
Category,Mobile_Devices,2016-12-01,2040.0,Holt-Winters
Category,Personal_Care,2017-02-01,74840.0,Holt-Winters
Category,Personal_Care,2017-03-01,59370.0,Holt-Winters
Category,Personal_Care,2017-04-01,63256.0,Holt-Winters
Category,Personal_Care,2017-05-01,51245.0,Holt-Winters
Category,Personal_Care,2017-06-01,61775.0,Holt-Winters
Category,Personal_Care,2017-07-01,54026.0,Holt-Winters
Category,Personal_Care,2017-08-01,50904.0,Holt-Winters
Category,Personal_Care,2017-09-01,63129.0,Holt-Winters
Category,Personal_Care,2017-10-01,55030.0,Holt-Winters
Category,Personal_Care,2017-11-01,68966.0,Holt-Winters
Category,Personal_Care,2017-12-01,51470.0,Holt-Winters
Category,Personal_Care,2018-01-01,58454.0,Holt-Winters
Category,Pet_Supplies,2017-01-01,132.0,Holt-Winters
Category,Pet_Supplies,2017-02-01,326.0,Holt-Winters
Category,Pet_Supplies,2017-03-01,469.0,Holt-Winters
Category,Pet_Supplies,2017-04-01,319.0,Holt-Winters
Category,Pet_Supplies,2017-05-01,462.0,Holt-Winters
Category,Pet_Supplies,2017-06-01,482.0,Holt-Winters
Category,Pet_Supplies,2017-07-01,323.0,Holt-Winters
Category,Pet_Supplies,2017-08-01,456.0,Holt-Winters
Category,Pet_Supplies,2017-09-01,539.0,Holt-Winters
Category,Pet_Supplies,2017-10-01,490.0,Holt-Winters
Category,Pet_Supplies,2017-11-01,589.0,Holt-Winters
Category,Pet_Supplies,2017-12-01,494.0,Holt-Winters
Category,Snacks,2017-02-01,507780.0,Holt-Winters
Category,Snacks,2017-03-01,571599.0,Holt-Winters
Category,Snacks,2017-04-01,538097.0,Holt-Winters
Category,Snacks,2017-05-01,535179.0,Holt-Winters
Category,Snacks,2017-06-01,672268.0,Holt-Winters
Category,Snacks,2017-07-01,530031.0,Holt-Winters
Category,Snacks,2017-08-01,509234.0,Holt-Winters
Category,Snacks,2017-09-01,571279.0,Holt-Winters
Category,Snacks,2017-10-01,675873.0,Holt-Winters
Category,Snacks,2017-11-01,624796.0,Holt-Winters
Category,Snacks,2017-12-01,772769.0,Holt-Winters
Category,Snacks,2018-01-01,437808.0,Holt-Winters
Category,Sports,2017-02-01,2326219.0,Holt-Winters
Category,Sports,2017-03-01,8836378.0,Holt-Winters
Category,Sports,2017-04-01,0.0,Holt-Winters
Category,Sports,2017-05-01,0.0,Holt-Winters
Category,Sports,2017-06-01,0.0,Holt-Winters
Category,Sports,2017-07-01,0.0,Holt-Winters
Category,Sports,2017-08-01,0.0,Holt-Winters
Category,Sports,2017-09-01,0.0,Holt-Winters
