Category_Name,Month,Actual_Demand,HW_Predicted,HW_RMSE,HW_RMSE_%,Naive_RMSE,Naive_RMSE_%,Better_Than_Naive
Electricals,2016-12-01,69672,86518.0,23574.67,46.06,17468.67,34.13,False
Electronics,2016-07-01,3119,1591.0,1845.61,32.6,1323.29,23.37,False
Electronics,2016-08-01,3590,1456.0,1845.61,32.6,1323.29,23.37,False
Electronics,2016-09-01,1520,2078.0,1845.61,32.6,1323.29,23.37,False
Electronics,2016-10-01,3596,1971.0,1845.61,32.6,1323.29,23.37,False
Electronics,2016-11-01,4751,2187.0,1845.61,32.6,1323.29,23.37,False
Electronics,2016-12-01,999,3003.0,1845.61,32.6,1323.29,23.37,False
Fitness,2016-08-01,0,0.0,43375.73,109.53,43090.1,108.8,False
Fitness,2016-09-01,25340,0.0,43375.73,109.53,43090.1,108.8,False
Fitness,2016-10-01,23467,0.0,43375.73,109.53,43090.1,108.8,False
Fitness,2016-11-01,100478,0.0,43375.73,109.53,43090.1,108.8,False
Fitness,2016-12-01,200,0.0,43375.73,109.53,43090.1,108.8,False
Fitness,2017-01-01,200,0.0,43375.73,109.53,43090.1,108.8,False
Food,2016-08-01,26088,27410.0,15838.64,59.43,13904.52,52.18,False
Food,2016-09-01,33170,27312.0,15838.64,59.43,13904.52,52.18,False
Food,2016-10-01,29868,32528.0,15838.64,59.43,13904.52,52.18,False
Food,2016-11-01,34654,29679.0,15838.64,59.43,13904.52,52.18,False
Food,2016-12-01,43019,30221.0,15838.64,59.43,13904.52,52.18,False
Food,2017-01-01,29,35715.0,15838.64,59.43,13904.52,52.18,False
Footwear,2016-07-01,123,692.0,422.58,160.93,421.08,160.35,False
Footwear,2016-08-01,316,344.0,422.58,160.93,421.08,160.35,False
Footwear,2016-09-01,180,218.0,422.58,160.93,421.08,160.35,False
Footwear,2016-10-01,257,242.0,422.58,160.93,421.08,160.35,False
Footwear,2016-11-01,1082,221.0,422.58,160.93,421.08,160.35,False
Footwear,2016-12-01,118,180.0,422.58,160.93,421.08,160.35,False
Furniture,2016-08-01,1717351,2142512.0,926654.54,44.19,833714.35,39.76,False
Furniture,2016-09-01,2134141,1127807.0,926654.54,44.19,833714.35,39.76,False
Furniture,2016-10-01,1746480,2197979.0,926654.54,44.19,833714.35,39.76,False
Furniture,2016-11-01,1205539,1723658.0,926654.54,44.19,833714.35,39.76,False
Furniture,2016-12-01,1738621,1319836.0,926654.54,44.19,833714.35,39.76,False
Furniture,2017-01-01,2472,1822083.0,926654.54,44.19,833714.35,39.76,False
Gardening,2016-07-01,593600,562603.0,176321.56,26.88,157872.67,24.07,False
Gardening,2016-08-01,766150,773908.0,176321.56,26.88,157872.67,24.07,False
Gardening,2016-09-01,540600,451313.0,176321.56,26.88,157872.67,24.07,False
Gardening,2016-10-01,624350,511756.0,176321.56,26.88,157872.67,24.07,False
Gardening,2016-11-01,677000,400739.0,176321.56,26.88,157872.67,24.07,False
Gardening,2016-12-01,676750,379185.0,176321.56,26.88,157872.67,24.07,False
General_Merchandise,2016-07-01,990000,636424.0,222656.55,32.09,112842.07,16.26,False
General_Merchandise,2016-08-01,690000,565709.0,222656.55,32.09,112842.07,16.26,False
General_Merchandise,2016-09-01,770000,675842.0,222656.55,32.09,112842.07,16.26,False
General_Merchandise,2016-10-01,810000,590054.0,222656.55,32.09,112842.07,16.26,False
General_Merchandise,2016-11-01,920000,673983.0,222656.55,32.09,112842.07,16.26,False
General_Merchandise,2016-12-01,840000,641947.0,222656.55,32.09,112842.07,16.26,False
Hardware,2016-07-01,6663,6832.0,1844.49,18.0,1541.05,15.03,False
Hardware,2016-08-01,4917,7178.0,1844.49,18.0,1541.05,15.03,False
Hardware,2016-09-01,5781,6655.0,1844.49,18.0,1541.05,15.03,False
Hardware,2016-10-01,2208,4906.0,1844.49,18.0,1541.05,15.03,False
Hardware,2016-11-01,5034,5602.0,1844.49,18.0,1541.05,15.03,False
Hardware,2016-12-01,4143,1515.0,1844.49,18.0,1541.05,15.03,False
Healthcare,2016-08-01,1020,1401.0,1925.04,244.65,436.77,55.51,False
Healthcare,2016-09-01,1173,1953.0,1925.04,244.65,436.77,55.51,False
Healthcare,2016-10-01,342,3452.0,1925.04,244.65,436.77,55.51,False
Healthcare,2016-11-01,1161,3120.0,1925.04,244.65,436.77,55.51,False
Healthcare,2016-12-01,946,2578.0,1925.04,244.65,436.77,55.51,False
Healthcare,2017-01-01,70,2374.0,1925.04,244.65,436.77,55.51,False
Home_Appliances,2016-08-01,6247912,6326406.0,3382312.07,61.36,2631737.8,47.74,False
Home_Appliances,2016-09-01,6699809,6230773.0,3382312.07,61.36,2631737.8,47.74,False
Home_Appliances,2016-10-01,6205704,7291089.0,3382312.07,61.36,2631737.8,47.74,False
Home_Appliances,2016-11-01,8256663,6635857.0,3382312.07,61.36,2631737.8,47.74,False
Home_Appliances,2016-12-01,6723807,6973466.0,3382312.07,61.36,2631737.8,47.74,False
Home_Appliances,2017-01-01,70000,8104093.0,3382312.07,61.36,2631737.8,47.74,False
Kitchenware,2016-07-01,488,233.0,168.02,57.21,157.97,53.79,False
Kitchenware,2016-08-01,463,296.0,168.02,57.21,157.97,53.79,False
Kitchenware,2016-09-01,60,204.0,168.02,57.21,157.97,53.79,False
Kitchenware,2016-10-01,127,326.0,168.02,57.21,157.97,53.79,False
Kitchenware,2016-11-01,294,413.0,168.02,57.21,157.97,53.79,False
Kitchenware,2016-12-01,254,301.0,168.02,57.21,157.97,53.79,False
Lighting,2016-07-01,248,290.0,45.14,20.52,78.09,35.49,True
Lighting,2016-08-01,188,123.0,45.14,20.52,78.09,35.49,True
Lighting,2016-09-01,211,194.0,45.14,20.52,78.09,35.49,True
Lighting,2016-10-01,147,91.0,45.14,20.52,78.09,35.49,True
Lighting,2016-11-01,91,142.0,45.14,20.52,78.09,35.49,True
Lighting,2016-12-01,97,84.0,45.14,20.52,78.09,35.49,True
Medicine,2016-07-01,791,2143.0,4257.75,80.3,1344.9,25.37,False
Medicine,2016-08-01,1829,1315.0,4257.75,80.3,1344.9,25.37,False
Medicine,2016-09-01,2312,2382.0,4257.75,80.3,1344.9,25.37,False
Medicine,2016-10-01,2032,10672.0,4257.75,80.3,1344.9,25.37,False
Medicine,2016-11-01,1871,7243.0,4257.75,80.3,1344.9,25.37,False
Medicine,2016-12-01,1776,0.0,4257.75,80.3,1344.9,25.37,False
Mobile_Devices,2015-07-01,140,1835.0,1468.65,72.88,1701.85,84.45,True
Mobile_Devices,2015-08-01,1580,3098.0,1468.65,72.88,1701.85,84.45,True
Mobile_Devices,2015-09-01,3000,2257.0,1468.65,72.88,1701.85,84.45,True
Mobile_Devices,2015-10-01,3600,1109.0,1468.65,72.88,1701.85,84.45,True
Mobile_Devices,2015-11-01,600,1286.0,1468.65,72.88,1701.85,84.45,True
Mobile_Devices,2015-12-01,2701,1968.0,1468.65,72.88,1701.85,84.45,True
Personal_Care,2016-08-01,78168,48225.0,41062.26,92.82,40564.42,91.7,False
Personal_Care,2016-09-01,110101,58269.0,41062.26,92.82,40564.42,91.7,False
Personal_Care,2016-10-01,30260,54633.0,41062.26,92.82,40564.42,91.7,False
Personal_Care,2016-11-01,108288,54663.0,41062.26,92.82,40564.42,91.7,False
Personal_Care,2016-12-01,67367,45115.0,41062.26,92.82,40564.42,91.7,False
Personal_Care,2017-01-01,500,51182.0,41062.26,92.82,40564.42,91.7,False
Pet_Supplies,2016-07-01,63,279.0,224.53,57.7,292.59,75.19,True
Pet_Supplies,2016-08-01,200,417.0,224.53,57.7,292.59,75.19,True
Pet_Supplies,2016-09-01,476,460.0,224.53,57.7,292.59,75.19,True
Pet_Supplies,2016-10-01,518,395.0,224.53,57.7,292.59,75.19,True
Pet_Supplies,2016-11-01,647,493.0,224.53,57.7,292.59,75.19,True
Pet_Supplies,2016-12-01,104,516.0,224.53,57.7,292.59,75.19,True
Snacks,2016-08-01,1054377,965855.0,499344.98,64.03,574751.65,73.7,True
Snacks,2016-09-01,979666,1032452.0,499344.98,64.03,574751.65,73.7,True
Snacks,2016-10-01,809186,1055273.0,499344.98,64.03,574751.65,73.7,True
Snacks,2016-11-01,470710,1029841.0,499344.98,64.03,574751.65,73.7,True
Snacks,2016-12-01,393259,877603.0,499344.98,64.03,574751.65,73.7,True
Snacks,2017-01-01,250,937093.0,499344.98,64.03,574751.65,73.7,True
Sports,2016-08-01,65871307,58921457.0,33003534.61,52.64,31178913.75,49.73,False
Sports,2016-09-01,63131222,63934473.0,33003534.61,52.64,31178913.75,49.73,False
Sports,2016-10-01,70089822,73489947.0,33003534.61,52.64,31178913.75,49.73,False
Sports,2016-11-01,73879998,69336372.0,33003534.61,52.64,31178913.75,49.73,False
Sports,2016-12-01,65968049,63101558.0,33003534.61,52.64,31178913.75,49.73,False
Sports,2017-01-01,210800,80497985.0,33003534.61,52.64,31178913.75,49.73,False
Toys,2016-07-01,454,695.0,206.04,27.01,237.69,31.16,True
Toys,2016-08-01,620,529.0,206.04,27.01,237.69,31.16,True
Toys,2016-09-01,488,830.0,206.04,27.01,237.69,31.16,True
Toys,2016-10-01,572,569.0,206.04,27.01,237.69,31.16,True
Toys,2016-11-01,841,771.0,206.04,27.01,237.69,31.16,True
Toys,2016-12-01,752,495.0,206.04,27.01,237.69,31.16,True
Travel_Accessories,2016-07-01,44342,52413.0,30418.15,40.85,32000.58,42.98,True
Travel_Accessories,2016-08-01,126272,59368.0,30418.15,40.85,32000.58,42.98,True
Travel_Accessories,2016-09-01,29602,38641.0,30418.15,40.85,32000.58,42.98,True
Travel_Accessories,2016-10-01,53300,25996.0,30418.15,40.85,32000.58,42.98,True
Travel_Accessories,2016-11-01,38660,51982.0,30418.15,40.85,32000.58,42.98,True
Travel_Accessories,2016-12-01,68814,71184.0,30418.15,40.85,32000.58,42.98,True
