date,forecast_units_sold,lower_ci,upper_ci,product_category
2018-10-21,45.31007574643476,-86.85803436575361,177.47818585862314,garden_tools
2018-10-28,52.310068751874184,-86.05206265435024,190.6722001580986,garden_tools
2018-09-09,47.830928625752804,9.92144663051991,85.7404106209857,perfumery
2018-09-16,34.54995463191058,-20.470302841204884,89.57021210502604,perfumery
2018-09-23,48.60821105169309,-20.22088831555368,117.43731041893986,perfumery
2018-09-30,44.38248923899329,-36.49308852637657,125.25806700436314,perfumery
2018-10-07,55.32844462440939,-36.410200376161704,147.0670896249805,perfumery
2018-10-14,56.28780749617842,-45.4271691417415,158.00278413409833,perfumery
2018-10-21,50.25725170068288,-60.72764767431712,161.24215107568287,perfumery
2018-10-28,61.23427624254867,-58.436309783916094,180.90486226901342,perfumery
2018-09-02,0.4434372165600373,-5.850464803805606,6.737339236925681,market_place
2018-09-09,5.898176180778844,-1.0495250657879165,12.845877427345604,market_place
2018-09-16,8.475522178713886,1.370653724608446,15.580390632819327,market_place
2018-09-23,6.787609107287871,-0.3659920619900161,13.941210276565759,market_place
2018-09-30,4.856304795776651,-2.3165168873288344,12.029126478882137,market_place
2018-10-07,10.9051746133017,3.7227632287302264,18.087585997873173,market_place
2018-10-14,2.9260966822491654,-4.262326149927974,10.114519514426304,market_place
2018-10-21,7.935053805299976,0.742052427277347,15.128055183322605,market_place
2018-08-26,2.123135037437338,-1.243232426633757,5.489502501508433,fashion_male_clothing
2018-09-02,-1.3610337106900818,-4.758996206899254,2.0369287855190903,fashion_male_clothing
2018-09-09,1.6686832328308703,-1.7316189044835508,5.068985370145292,fashion_male_clothing
2018-09-16,0.4494687407635385,-2.951625288452411,3.8505627699794878,fashion_male_clothing
2018-09-23,-1.328004616720199,-4.729748168704034,2.073738935263635,fashion_male_clothing
2018-09-30,1.449803972237656,-1.952574736422633,4.852182680897945,fashion_male_clothing
2018-10-07,3.4498070907183758,0.046794783499602755,6.852819397937148,fashion_male_clothing
2018-10-14,0.4498074063480262,-2.953838235678221,3.8534530483742735,fashion_male_clothing
2018-09-02,12.651427250939665,6.4458394046436185,18.857015097235713,industry_commerce_and_business
2018-09-09,18.84832230631966,11.120184909826401,26.57645970281292,industry_commerce_and_business
2018-09-16,10.597716937178184,0.48413820865720325,20.711295665699165,industry_commerce_and_business
2018-09-23,21.330188790480243,10.37068760608149,32.289689974878996,industry_commerce_and_business
2018-09-30,8.8203979318013,-4.173833739708986,21.814629603311587,industry_commerce_and_business
2018-10-07,21.643685420146745,8.141558211824796,35.1458126284687,industry_commerce_and_business
2018-10-14,7.263708338501511,-8.24960494730891,22.77702162431193,industry_commerce_and_business
2018-10-21,25.71012430218613,9.93412406899534,41.48612453537692,industry_commerce_and_business
2018-09-02,2.624929688120253,0.3175156942865933,4.932343681953913,fashion_female_clothing
2018-09-09,1.452955970364462,-0.8618484124551236,3.7677603531840473,fashion_female_clothing
2018-09-16,0.6714336349094321,-1.7294961842220862,3.0723634540409503,fashion_female_clothing
2018-09-23,1.4818007841329148,-0.9792912767467921,3.9428928450126217,fashion_female_clothing
2018-09-30,0.6652848119037936,-1.859026429247697,3.1895960530552845,fashion_female_clothing
2018-10-07,4.6649297050204535,2.079892297026491,7.249967113014415,fashion_female_clothing
2018-10-14,0.6650054028353635,-1.979560966431595,3.309571772102322,fashion_female_clothing
2018-10-21,0.6649892664002484,-2.037754145975528,3.367732678776025,fashion_female_clothing
2018-09-02,34.14443292498896,2.818216675160688,65.47064917481724,electronics
2018-09-09,41.05362442528582,-4.152129909671714,86.25937876024335,electronics
2018-09-16,51.14250565707721,-4.235308956289401,106.52032027044382,electronics
2018-09-23,39.07628348422695,-25.020869435821567,103.17343640427546,electronics
2018-09-30,53.13166958062466,-18.570991252644816,124.83433041389414,electronics
2018-10-07,52.12692008747086,-26.475606784595335,130.72944695953706,electronics
2018-10-14,45.129191402932776,-39.802575316749255,130.0609581226148,electronics
2018-10-21,52.12810520830937,-38.6982515504154,142.95446196703415,electronics
2018-09-02,41.32037732673898,26.096592502015156,56.5441621514628,pet_shop
2018-09-09,45.793918472030384,25.63920929876454,65.94862764529623,pet_shop
2018-09-16,47.94739154400114,23.459136651287704,72.43564643671458,pet_shop
2018-09-23,52.686499301072026,24.643460335456496,80.72953826668756,pet_shop
2018-09-30,45.984754457749,14.752158764583822,77.21735015091417,pet_shop
2018-10-07,46.99168541921934,12.87823492058184,81.10513591785684,pet_shop
2018-10-14,37.989274667830216,1.2161635760193334,74.76238575964109,pet_shop
2018-10-21,50.990113183855016,11.73838863635116,90.24183773135887,pet_shop
2018-09-09,18.442738605232403,-12.497270341599169,49.382747552063975,fashion_bags_accessories
2018-09-16,28.26791074852963,-8.622379190630397,65.15820068768966,fashion_bags_accessories
2018-09-23,37.89224539122546,-1.6734668453664412,77.45795762781736,fashion_bags_accessories
2018-09-30,31.64040983631192,-9.48378956089125,72.76460923351509,fashion_bags_accessories
2018-10-07,47.08035059546986,4.858180834114513,89.3025203568252,fashion_bags_accessories
2018-10-14,42.31492919035282,-0.7916273781341374,85.42148575883978,fashion_bags_accessories
2018-10-21,37.44000766065094,-6.442906103092568,81.32292142439445,fashion_bags_accessories
2018-10-28,42.50670012140134,-2.0937038210292442,87.10710406383191,fashion_bags_accessories
2018-09-09,8.342415091160664,0.6167138165429087,16.06811636577842,audio
2018-09-16,10.500498502459088,2.1441750128119725,18.856821992106205,audio
2018-09-23,8.758951788139814,0.1823135100492017,17.335590066230427,audio
2018-09-30,8.339530295284664,-0.38245168647945427,17.061512277048784,audio
2018-10-07,11.32992784588799,2.481555651692524,20.178300040083457,audio
2018-10-14,8.327278683454189,-0.6413685097190456,17.29592587662742,audio
2018-10-21,7.326547821846824,-1.7596152896896102,16.41271093338326,audio
2018-10-28,7.326346188801488,-1.8755152280122767,16.528207605615254,audio
2018-09-02,-0.61874322824404,-4.078983271040286,2.8414968145522064,diapers_and_hygiene
2018-09-09,-0.6179084018114926,-4.164161901512261,2.9283450978892764,diapers_and_hygiene
2018-09-16,1.0184947872780372,-2.586681258572341,4.623670833128416,diapers_and_hygiene
2018-09-23,-0.6178669751414303,-4.279955005172548,3.044221054889687,diapers_and_hygiene
2018-09-30,1.0184967500066493,-2.6995828713001284,4.7365763713134275,diapers_and_hygiene
2018-10-07,1.0184967542131127,-2.7547413793561915,4.791734887782416,diapers_and_hygiene
2018-10-14,1.0184967544124082,-2.809104992309413,4.846098501134229,diapers_and_hygiene
2018-10-21,1.0184967544218504,-2.8627072096744115,4.899700718518113,diapers_and_hygiene
2018-09-09,7.491778636843538,-3.1442716084858944,18.12782888217297,food
2018-09-16,8.587693096326262,-4.079147304641934,21.25453349729446,food
2018-09-23,8.377102710672817,-5.711057387418149,22.465262808763782,food
2018-09-30,9.565942764577077,-5.759040193187319,24.89092572234147,food
2018-10-07,13.565285065196052,-2.8945263766848885,30.025096507076995,food
2018-10-14,8.565160320794972,-8.954466032369693,26.084786673959634,food
2018-10-21,7.565136660797639,-10.95345280617094,26.083726127766216,food
2018-10-28,8.565132173257766,-10.901169616199585,28.031433962715116,food
2018-09-09,39.63206191075979,8.759990879832628,70.50413294168695,stationery
2018-09-16,25.271841285999688,-24.94406593077157,75.48774850277094,stationery
2018-09-23,24.041906686153826,-45.497223667263555,93.5810370395712,stationery
2018-09-30,18.89822493469753,-70.62320838801605,108.4196582574111,stationery
2018-10-07,11.838492717546458,-98.45739884243643,122.13438427752935,stationery
2018-10-14,8.860468228796815,-123.00127032838999,140.72220678598362,stationery
2018-10-21,4.961969528198048,-149.21466638939071,159.1386054457868,stationery
2018-10-28,4.140872942487927,-173.04456118724372,181.32630707221958,stationery
2018-09-02,3.261596867773299,1.2336292072733355,5.289564528273262,furniture_bedroom
2018-09-09,3.3507315502114765,1.161969697983142,5.5394934024398115,furniture_bedroom
2018-09-16,3.3811026769039443,1.1572825889170004,5.604922764890889,furniture_bedroom
2018-09-23,6.391451121654501,4.156083233329648,8.626819009979354,furniture_bedroom
2018-09-30,2.3949771781567732,0.15401333379392845,4.635941022519618,furniture_bedroom
2018-10-07,2.3961786219250802,0.15141354809543195,4.6409436957547285,furniture_bedroom
2018-10-14,2.396587993450316,0.14860804314280562,4.644567943757826,furniture_bedroom
2018-10-21,2.3967274798333618,0.14573156548642796,4.647723394180296,furniture_bedroom
2018-08-26,0.9779116931761741,-0.652409391315414,2.6082327776677623,music
2018-09-02,0.2997585942699371,-2.121617568629364,2.721134757169238,music
2018-09-09,-0.03954795043928608,-3.1010744814207456,3.0219785805421733,music
2018-09-16,-0.0426541589988206,-3.654687121941141,3.5693788039435,music
2018-09-23,-0.04426945954791382,-4.143947397676211,4.055408478580384,music
2018-09-30,-0.045109453326146125,-4.585312409548692,4.495093502896399,music
2018-10-07,0.9544537304120968,-3.9895627778513463,5.89847023867554,music
2018-10-14,-0.045773424182949274,-5.364189275878303,5.272642427512405,music
2018-09-02,15.862877576113512,5.94678454677228,25.778970605454745,small_appliances
2018-09-09,9.829484336171433,-4.63902811921265,24.297996791555516,small_appliances
2018-09-16,12.821352125244625,-5.166175898803148,30.8088801492924,small_appliances
2018-09-23,11.8193716988268,-9.122255104273275,32.76099850192688,small_appliances
2018-09-30,13.818889408237965,-9.712885513450626,37.35066432992656,small_appliances
2018-10-07,10.818771956657848,-15.045951934856852,36.68349584817255,small_appliances
