Level,Category_Name,Forecast_Month,Forecast_Demand,Model_Used
Category,Books,2017-11-01,584.0,SARIMA
Category,Books,2017-12-01,347.0,SARIMA
Category,Cleaning_Supplies,2017-01-01,12956.0,Naive
Category,Cleaning_Supplies,2017-02-01,12956.0,Naive
Category,Cleaning_Supplies,2017-03-01,12956.0,Naive
Category,Cleaning_Supplies,2017-04-01,12956.0,Naive
Category,Cleaning_Supplies,2017-05-01,12956.0,Naive
Category,Cleaning_Supplies,2017-06-01,12956.0,Naive
Category,Cleaning_Supplies,2017-07-01,12956.0,Naive
Category,Cleaning_Supplies,2017-08-01,12956.0,Naive
Category,Cleaning_Supplies,2017-09-01,12956.0,Naive
Category,Cleaning_Supplies,2017-10-01,12956.0,Naive
Category,Cleaning_Supplies,2017-11-01,12956.0,Naive
Category,Cleaning_Supplies,2017-12-01,12956.0,Naive
Category,Clothing,2017-01-01,24858.0,Naive
Category,Clothing,2017-02-01,24858.0,Naive
Category,Clothing,2017-03-01,24858.0,Naive
Category,Clothing,2017-04-01,24858.0,Naive
Category,Clothing,2017-05-01,24858.0,Naive
Category,Clothing,2017-06-01,24858.0,Naive
Category,Clothing,2017-07-01,24858.0,Naive
Category,Clothing,2017-08-01,24858.0,Naive
Category,Clothing,2017-09-01,24858.0,Naive
Category,Clothing,2017-10-01,24858.0,Naive
Category,Clothing,2017-11-01,24858.0,Naive
Category,Clothing,2017-12-01,24858.0,Naive
Category,Computers,2017-02-01,10600.0,Naive
Category,Computers,2017-03-01,10600.0,Naive
Category,Computers,2017-04-01,10600.0,Naive
Category,Computers,2017-05-01,10600.0,Naive
Category,Computers,2017-06-01,10600.0,Naive
Category,Computers,2017-07-01,10600.0,Naive
Category,Computers,2017-08-01,10600.0,Naive
Category,Computers,2017-09-01,10600.0,Naive
Category,Computers,2017-10-01,10600.0,Naive
Category,Computers,2017-11-01,10600.0,Naive
Category,Computers,2017-12-01,10600.0,Naive
Category,Computers,2018-01-01,10600.0,Naive
Category,Dairy,2017-02-01,3529.0,SARIMA
Category,Dairy,2017-03-01,4563.0,SARIMA
Category,Dairy,2017-04-01,4360.0,SARIMA
Category,Dairy,2017-05-01,3638.0,SARIMA
Category,Dairy,2017-06-01,3499.0,SARIMA
Category,Dairy,2017-07-01,3447.0,SARIMA
Category,Dairy,2017-08-01,4102.0,SARIMA
Category,Dairy,2017-09-01,3585.0,SARIMA
Category,Dairy,2017-10-01,3958.0,SARIMA
Category,Dairy,2017-11-01,3447.0,SARIMA
Category,Dairy,2017-12-01,3476.0,SARIMA
Category,Dairy,2018-01-01,1890.0,SARIMA
Category,Electricals,2017-01-01,69672.0,Naive
Category,Electricals,2017-02-01,69672.0,Naive
Category,Electricals,2017-03-01,69672.0,Naive
Category,Electricals,2017-04-01,69672.0,Naive
Category,Electricals,2017-05-01,69672.0,Naive
Category,Electricals,2017-06-01,69672.0,Naive
Category,Electricals,2017-07-01,69672.0,Naive
Category,Electricals,2017-08-01,69672.0,Naive
Category,Electricals,2017-09-01,69672.0,Naive
Category,Electricals,2017-10-01,69672.0,Naive
Category,Electricals,2017-11-01,69672.0,Naive
Category,Electricals,2017-12-01,69672.0,Naive
Category,Electronics,2017-01-01,999.0,Naive
Category,Electronics,2017-02-01,999.0,Naive
Category,Electronics,2017-03-01,999.0,Naive
Category,Electronics,2017-04-01,999.0,Naive
Category,Electronics,2017-05-01,999.0,Naive
Category,Electronics,2017-06-01,999.0,Naive
Category,Electronics,2017-07-01,999.0,Naive
Category,Electronics,2017-08-01,999.0,Naive
Category,Electronics,2017-09-01,999.0,Naive
Category,Electronics,2017-10-01,999.0,Naive
Category,Electronics,2017-11-01,999.0,Naive
Category,Electronics,2017-12-01,999.0,Naive
Category,Fitness,2017-02-01,0.0,SARIMA
Category,Fitness,2017-03-01,18091.0,SARIMA
Category,Fitness,2017-04-01,25745.0,SARIMA
Category,Fitness,2017-05-01,0.0,SARIMA
Category,Fitness,2017-06-01,24845.0,SARIMA
Category,Fitness,2017-07-01,0.0,SARIMA
Category,Fitness,2017-08-01,9523.0,SARIMA
Category,Fitness,2017-09-01,17884.0,SARIMA
Category,Fitness,2017-10-01,3193.0,SARIMA
Category,Fitness,2017-11-01,58862.0,SARIMA
Category,Fitness,2017-12-01,0.0,SARIMA
Category,Fitness,2018-01-01,0.0,SARIMA
Category,Food,2017-02-01,29.0,Naive
Category,Food,2017-03-01,29.0,Naive
Category,Food,2017-04-01,29.0,Naive
Category,Food,2017-05-01,29.0,Naive
Category,Food,2017-06-01,29.0,Naive
Category,Food,2017-07-01,29.0,Naive
Category,Food,2017-08-01,29.0,Naive
Category,Food,2017-09-01,29.0,Naive
Category,Food,2017-10-01,29.0,Naive
