date,forecast_units_sold,lower_ci,upper_ci,is_festival,is_holiday
2018-11-27,2.3513372649976567,-8.974480488228219,13.677155018223532,0,0
2018-11-28,2.3508068463034686,-8.975772843617605,13.677386536224542,0,0
2018-11-29,2.3502765472620393,-8.977064684417826,13.677617778941904,0,0
2018-11-30,2.3497463678463775,-8.978356010890558,13.677848746583312,0,0
2018-12-01,2.3492163080294977,-8.979646823297285,13.67807943935628,0,0
2018-12-02,2.348686367784421,-8.980937121899322,13.678309857468163,0,0
2018-12-03,2.348156547084174,-8.982226906957798,13.678540001126144,0,0
2018-12-04,2.3476268459017895,-8.983516178733664,13.678769870537243,0,0
2018-12-05,2.3470972642103063,-8.984804937487693,13.678999465908307,0,0
2018-12-06,2.34656780198277,-8.986093183480476,13.679228787446016,0,0
2018-12-07,2.346038459192231,-8.987380916972425,13.679457835356887,0,0
2018-12-08,2.345509235811747,-8.988668138223774,13.679686609847268,0,0
2018-12-09,2.344980131814381,-8.989954847494577,13.67991511112334,0,0
2018-12-10,2.3444511471732024,-8.991241045044706,13.680143339391112,0,0
2018-12-11,2.343922281861287,-8.992526731133863,13.680371294856437,0,0
2018-12-12,2.3433935358517157,-8.993811906021566,13.680598977724998,0,0
2018-12-13,2.3428649091175764,-8.995096569967151,13.680826388202304,0,0
2018-12-14,2.3423364016319628,-8.996380723229782,13.681053526493708,0,0
2018-12-15,2.341808013367974,-8.997664366068443,13.681280392804391,0,0
2018-12-16,2.341279744298717,-8.998947498741941,13.681506987339375,0,0
2018-12-17,2.3407515943973025,-9.000230121508906,13.68173331030351,0,0
2018-12-18,2.340223563636849,-9.001512234627786,13.681959361901484,0,0
2018-12-19,2.3396956519904806,-9.002793838356856,13.682185142337817,0,0
2018-12-20,2.3391678594313268,-9.004074932954214,13.682410651816866,0,0
2018-12-21,2.338640185932524,-9.005355518677776,13.682635890542825,0,0
2018-12-22,2.3381126314672143,-9.006635595785287,13.682860858719717,0,0
2018-12-23,2.337585196008546,-9.007915164534317,13.683085556551411,0,0
2018-12-24,2.3370578795296733,-9.009194225182252,13.6833099842416,0,0
2018-12-25,2.3365306820037564,-9.010472777986308,13.683534141993821,0,0
2018-12-26,2.3360036034039617,-9.011750823203522,13.683758030011445,0,0
2018-12-27,2.335476643703462,-9.013028361090756,13.68398164849768,0,0
2018-12-28,2.334949802875436,-9.014305391904692,13.684204997655563,0,0
2018-12-29,2.3344230808930675,-9.015581915901844,13.68442807768798,0,0
2018-12-30,2.3338964777295472,-9.016857933338546,13.684650888797641,0,0
2018-12-31,2.333369993358072,-9.018133444470958,13.684873431187103,0,0
2019-01-01,7.357073634178362,-3.995178443128549,18.709325711485274,1,0
2019-01-02,2.332317380884074,-9.020682948846678,13.685317710614827,0,0
2019-01-03,2.3317912527279745,-9.02195694260143,13.685539448057378,0,0
2019-01-04,2.331265243256767,-9.02323043107478,13.685760917588315,0,0
2019-01-05,2.3307393524436786,-9.024503414522014,13.685982119409372,0,0
2019-01-06,2.3302135802619417,-9.025775893198245,13.68620305372213,0,0
2019-01-07,2.329687926684796,-9.027047867358412,13.686423720728005,0,0
2019-01-08,2.3291623916854856,-9.02831933725728,13.686644120628252,0,0
2019-01-09,2.328636975237262,-9.02959030314943,13.686864253623952,0,0
2019-01-10,2.3281116773133825,-9.030860765289287,13.687084119916051,0,0
2019-01-11,2.32758649788711,-9.03213072393109,13.687303719705309,0,0
2019-01-12,2.327061436931713,-9.03340017932891,13.687523053192335,0,0
2019-01-13,2.3265364944204676,-9.034669131736637,13.687742120577573,0,0
2019-01-14,2.3260116703266545,-9.035937581408005,13.687960922061313,0,0
2019-01-15,2.3254869646235607,-9.037205528596555,13.688179457843678,0,0
2019-01-16,2.3249623772844794,-9.03847297355567,13.688397728124631,0,0
2019-01-17,2.32443790828271,-9.039739916538558,13.68861573310398,0,0
2019-01-18,2.323913557591558,-9.041006357798247,13.688833472981363,0,0
2019-01-19,2.3233893251843343,-9.042272297587601,13.689050947956268,0,0
2019-01-20,2.3228652110343564,-9.043537736159307,13.68926815822802,0,0
2019-01-21,2.322341215114948,-9.044802673765881,13.689485103995777,0,0
2019-01-22,2.3218173373994375,-9.046067110659676,13.689701785458551,0,0
2019-01-23,2.321293577861161,-9.047331047092861,13.689918202815182,0,0
2019-01-24,2.32076993647346,-9.048594483317434,13.690134356264355,0,0
2019-01-25,2.320246413209681,-9.049857419585237,13.690350246004598,0,0
2019-01-26,2.3197230080431788,-9.051119856147924,13.69056587223428,0,0
2019-01-27,2.3191997209473114,-9.052381793256986,13.69078123515161,0,0
2019-01-28,2.318676551895445,-9.053643231163745,13.690996334954635,0,0
2019-01-29,2.3181535008609506,-9.054904170119347,13.691211171841246,0,0
2019-01-30,2.3176305678172064,-9.056164610374767,13.691425746009179,0,0
2019-01-31,2.3171077527375954,-9.057424552180818,13.691640057656008,0,0
2019-02-01,2.3165850555955068,-9.058683995788137,13.69185410697915,0,0
2019-02-02,2.316062476364336,-9.059942941447193,13.692067894175864,0,0
2019-02-03,2.315540015017485,-9.061201389408282,13.692281419443251,0,0
2019-02-04,2.315017671528361,-9.062459339921537,13.692494682978259,0,0
2019-02-05,2.3144954458703775,-9.063716793236912,13.692707684977668,0,0
2019-02-06,2.313973338016954,-9.064973749604201,13.692920425638109,0,0
2019-02-07,2.3134513479415153,-9.066230209273026,13.693132905156055,0,0
2019-02-08,2.3129294756174934,-9.067486172492838,13.693345123727823,0,0
2019-02-09,2.312407721018326,-9.068741639512918,13.69355708154957,0,0
2019-02-10,2.311886084117456,-9.069996610582386,13.693768778817297,0,0
2019-02-11,2.311364564888333,-9.071251085950184,13.69398021572685,0,0
2019-02-12,2.3108431633044124,-9.072505065865093,13.694191392473916,0,0
2019-02-13,2.310321879339156,-9.07375855057572,13.694402309254032,0,0
2019-02-14,2.3098007129660303,-9.07501154033051,13.69461296626257,0,0
2019-02-15,2.309279664158509,-9.076264035377738,13.694823363694757,0,0
2019-02-16,2.3087587328900723,-9.077516035965509,13.695033501745655,0,0
2019-02-17,2.3082379191342044,-9.078767542341762,13.695243380610172,0,0
2019-02-18,2.307717222864397,-9.080018554754268,13.695453000483063,0,0
2019-02-19,2.3071966440541476,-9.081269073450635,13.69566236155893,0,0
2019-02-20,2.3066761826769593,-9.082519098678297,13.695871464032216,0,0
2019-02-21,2.306155838706341,-9.083768630684528,13.696080308097208,0,0
2019-02-22,2.305635612115809,-9.085017669716425,13.696288893948044,0,0
2019-02-23,2.3051155028788832,-9.086266216020935,13.6964972217787,0,0
2019-02-24,2.3045955109690914,-9.08751426984482,13.696705291783005,0,0
2019-02-25,2.304075636359967,-9.088761831434695,13.696913104154628,0,0
2019-02-26,2.3035558790250485,-9.090008901036988,13.697120659087087,0,0
2019-02-27,2.3030362389378816,-9.09125547889798,13.697327956773742,0,0
2019-02-28,2.302516716072017,-9.092501565263774,13.697534997407807,0,0
2019-03-01,2.3019973104010116,-9.09374716038031,13.697741781182334,0,0
2019-03-02,2.3014780218984288,-9.094992264493369,13.697948308290227,0,0
2019-03-03,2.300958850537837,-9.096236877848556,13.69815457892423,0,0
2019-03-04,7.324669802719329,-4.0732509942648,18.72259059970346,1,0
2019-03-05,2.2999208591369333,-9.098724633266936,13.698566351540801,0,0
2019-03-06,2.299402039043789,-9.099967775820526,13.698771853908104,0,0
2019-03-07,2.298883335986971,-9.101210428597039,13.698977100570982,0,0
2019-03-08,2.2983647499400788,-9.10245259184126,13.699182091721418,0,0
2019-03-09,2.297846280876717,-9.103694265797811,13.699386827551246,0,0
2019-03-10,2.2973279287704957,-9.10493545071115,13.699591308252142,0,0
2019-03-11,2.2968096935950317,-9.10617614682557,13.699795534015633,0,0
2019-03-12,2.2962915753239477,-9.107416354385197,13.699999505033094,0,0
2019-03-13,2.2957735739308722,-9.108656073634005,13.700203221495752,0,0
2019-03-14,2.29525568938944,-9.10989530481579,13.700406683594672,0,0
2019-03-15,2.2947379216732906,-9.111134048174192,13.700609891520772,0,0
2019-03-16,2.294220270756071,-9.112372303952686,13.700812845464828,0,0
2019-03-17,2.2937027366114338,-9.113610072394586,13.701015545617452,0,0
2019-03-18,2.2931853192130367,-9.114847353743038,13.701217992169113,0,0
2019-03-19,2.292668018534544,-9.11608414824103,13.701420185310118,0,0
