date,product_category,units_sold,day_of_week,week_of_year,month,year,is_weekend,is_holiday,holiday_name,is_festival,festival_name
2016-12-30,health_beauty,0.0,4,52,12,2016,0,0,No_Holiday,0,None
2016-12-31,health_beauty,0.0,5,52,12,2016,1,0,No_Holiday,0,None
2017-01-01,health_beauty,0.0,6,52,1,2017,1,0,No_Holiday,1,New_Year
2017-01-02,health_beauty,0.0,0,1,1,2017,0,0,No_Holiday,0,None
2017-01-03,health_beauty,0.0,1,1,1,2017,0,0,No_Holiday,0,None
2017-01-04,health_beauty,0.0,2,1,1,2017,0,0,No_Holiday,0,None
2017-01-05,health_beauty,0.0,3,1,1,2017,0,0,No_Holiday,0,None
2017-01-06,health_beauty,1.0,4,1,1,2017,0,0,No_Holiday,0,None
2017-01-07,health_beauty,1.0,5,1,1,2017,1,0,No_Holiday,0,None
2017-01-08,health_beauty,0.0,6,1,1,2017,1,0,No_Holiday,0,None
2017-01-09,health_beauty,1.0,0,2,1,2017,0,0,No_Holiday,0,None
2017-01-10,health_beauty,0.0,1,2,1,2017,0,0,No_Holiday,0,None
2017-01-11,health_beauty,0.0,2,2,1,2017,0,0,No_Holiday,0,None
2017-01-12,health_beauty,0.0,3,2,1,2017,0,0,No_Holiday,0,None
2017-01-13,health_beauty,1.0,4,2,1,2017,0,0,No_Holiday,0,None
2017-01-14,health_beauty,0.0,5,2,1,2017,1,0,No_Holiday,0,None
2017-01-15,health_beauty,1.0,6,2,1,2017,1,0,No_Holiday,0,None
2017-01-16,health_beauty,3.0,0,3,1,2017,0,0,No_Holiday,0,None
2017-01-17,health_beauty,1.0,1,3,1,2017,0,0,No_Holiday,0,None
2017-01-18,health_beauty,3.0,2,3,1,2017,0,0,No_Holiday,0,None
2017-01-19,health_beauty,1.0,3,3,1,2017,0,0,No_Holiday,0,None
2017-01-20,health_beauty,3.0,4,3,1,2017,0,0,No_Holiday,0,None
2017-01-21,health_beauty,1.0,5,3,1,2017,1,0,No_Holiday,0,None
2017-01-22,health_beauty,6.0,6,3,1,2017,1,0,No_Holiday,0,None
2017-01-23,health_beauty,7.0,0,4,1,2017,0,0,No_Holiday,0,None
2017-01-24,health_beauty,6.0,1,4,1,2017,0,0,No_Holiday,0,None
2017-01-25,health_beauty,12.0,2,4,1,2017,0,0,No_Holiday,0,None
2017-01-26,health_beauty,9.0,3,4,1,2017,0,0,No_Holiday,0,None
2017-01-27,health_beauty,5.0,4,4,1,2017,0,0,No_Holiday,0,None
2017-01-28,health_beauty,2.0,5,4,1,2017,1,0,No_Holiday,0,None
2017-01-29,health_beauty,3.0,6,4,1,2017,1,0,No_Holiday,0,None
2017-01-30,health_beauty,7.0,0,5,1,2017,0,0,No_Holiday,0,None
2017-01-31,health_beauty,8.0,1,5,1,2017,0,0,No_Holiday,0,None
2017-02-01,health_beauty,7.0,2,5,2,2017,0,0,No_Holiday,0,None
2017-02-02,health_beauty,9.0,3,5,2,2017,0,0,No_Holiday,0,None
2017-02-03,health_beauty,8.0,4,5,2,2017,0,0,No_Holiday,0,None
2017-02-04,health_beauty,13.0,5,5,2,2017,1,0,No_Holiday,0,None
2017-02-05,health_beauty,10.0,6,5,2,2017,1,0,No_Holiday,0,None
2017-02-06,health_beauty,14.0,0,6,2,2017,0,0,No_Holiday,0,None
2017-02-07,health_beauty,8.0,1,6,2,2017,0,0,No_Holiday,0,None
2017-02-08,health_beauty,8.0,2,6,2,2017,0,0,No_Holiday,0,None
2017-02-09,health_beauty,4.0,3,6,2,2017,0,0,No_Holiday,0,None
2017-02-10,health_beauty,5.0,4,6,2,2017,0,0,No_Holiday,0,None
2017-02-11,health_beauty,3.0,5,6,2,2017,1,0,No_Holiday,0,None
2017-02-12,health_beauty,3.0,6,6,2,2017,1,0,No_Holiday,0,None
2017-02-13,health_beauty,5.0,0,7,2,2017,0,0,No_Holiday,0,None
2017-02-14,health_beauty,3.0,1,7,2,2017,0,0,No_Holiday,0,None
2017-02-15,health_beauty,5.0,2,7,2,2017,0,0,No_Holiday,0,None
2017-02-16,health_beauty,4.0,3,7,2,2017,0,0,No_Holiday,0,None
2017-02-17,health_beauty,0.0,4,7,2,2017,0,0,No_Holiday,0,None
2017-02-18,health_beauty,2.0,5,7,2,2017,1,0,No_Holiday,0,None
2017-02-19,health_beauty,5.0,6,7,2,2017,1,0,No_Holiday,0,None
2017-02-20,health_beauty,10.0,0,8,2,2017,0,0,No_Holiday,0,None
2017-02-21,health_beauty,1.0,1,8,2,2017,0,0,No_Holiday,0,None
2017-02-22,health_beauty,8.0,2,8,2,2017,0,0,No_Holiday,0,None
2017-02-23,health_beauty,6.0,3,8,2,2017,0,0,No_Holiday,0,None
2017-02-24,health_beauty,7.0,4,8,2,2017,0,0,No_Holiday,0,None
2017-02-25,health_beauty,2.0,5,8,2,2017,1,0,No_Holiday,0,None
2017-02-26,health_beauty,2.0,6,8,2,2017,1,0,No_Holiday,0,None
2017-02-27,health_beauty,1.0,0,9,2,2017,0,0,No_Holiday,1,Carnival
2017-02-28,health_beauty,1.0,1,9,2,2017,0,0,No_Holiday,0,None
2017-03-01,health_beauty,6.0,2,9,3,2017,0,0,No_Holiday,0,None
2017-03-02,health_beauty,6.0,3,9,3,2017,0,0,No_Holiday,0,None
2017-03-03,health_beauty,2.0,4,9,3,2017,0,0,No_Holiday,0,None
2017-03-04,health_beauty,4.0,5,9,3,2017,1,0,No_Holiday,0,None
2017-03-05,health_beauty,10.0,6,9,3,2017,1,0,No_Holiday,0,None
2017-03-06,health_beauty,7.0,0,10,3,2017,0,0,No_Holiday,0,None
2017-03-07,health_beauty,5.0,1,10,3,2017,0,0,No_Holiday,0,None
2017-03-08,health_beauty,4.0,2,10,3,2017,0,0,No_Holiday,0,None
2017-03-09,health_beauty,9.0,3,10,3,2017,0,0,No_Holiday,0,None
2017-03-10,health_beauty,9.0,4,10,3,2017,0,0,No_Holiday,0,None
2017-03-11,health_beauty,5.0,5,10,3,2017,1,0,No_Holiday,0,None
2017-03-12,health_beauty,3.0,6,10,3,2017,1,0,No_Holiday,0,None
2017-03-13,health_beauty,10.0,0,11,3,2017,0,0,No_Holiday,0,None
2017-03-14,health_beauty,12.0,1,11,3,2017,0,0,No_Holiday,0,None
2017-03-15,health_beauty,5.0,2,11,3,2017,0,0,No_Holiday,0,None
2017-03-16,health_beauty,13.0,3,11,3,2017,0,0,No_Holiday,0,None
2017-03-17,health_beauty,5.0,4,11,3,2017,0,0,No_Holiday,0,None
2017-03-18,health_beauty,3.0,5,11,3,2017,1,0,No_Holiday,0,None
2017-03-19,health_beauty,2.0,6,11,3,2017,1,0,No_Holiday,0,None
2017-03-20,health_beauty,18.0,0,12,3,2017,0,0,No_Holiday,0,None
2017-03-21,health_beauty,7.0,1,12,3,2017,0,0,No_Holiday,0,None
2017-03-22,health_beauty,9.0,2,12,3,2017,0,0,No_Holiday,0,None
2017-03-23,health_beauty,13.0,3,12,3,2017,0,0,No_Holiday,0,None
2017-03-24,health_beauty,3.0,4,12,3,2017,0,0,No_Holiday,0,None
2017-03-25,health_beauty,5.0,5,12,3,2017,1,0,No_Holiday,0,None
2017-03-26,health_beauty,1.0,6,12,3,2017,1,0,No_Holiday,0,None
2017-03-27,health_beauty,8.0,0,13,3,2017,0,0,No_Holiday,0,None
2017-03-28,health_beauty,7.0,1,13,3,2017,0,0,No_Holiday,0,None
2017-03-29,health_beauty,8.0,2,13,3,2017,0,0,No_Holiday,0,None
2017-03-30,health_beauty,2.0,3,13,3,2017,0,0,No_Holiday,0,None
2017-03-31,health_beauty,7.0,4,13,3,2017,0,0,No_Holiday,0,None
2017-04-01,health_beauty,7.0,5,13,4,2017,1,0,No_Holiday,0,None
2017-04-02,health_beauty,5.0,6,13,4,2017,1,0,No_Holiday,0,None
2017-04-03,health_beauty,3.0,0,14,4,2017,0,0,No_Holiday,0,None
2017-04-04,health_beauty,6.0,1,14,4,2017,0,0,No_Holiday,0,None
2017-04-05,health_beauty,5.0,2,14,4,2017,0,0,No_Holiday,0,None
2017-04-06,health_beauty,6.0,3,14,4,2017,0,0,No_Holiday,0,None
2017-04-07,health_beauty,9.0,4,14,4,2017,0,0,No_Holiday,0,None
2017-04-08,health_beauty,5.0,5,14,4,2017,1,0,No_Holiday,0,None
2017-04-09,health_beauty,3.0,6,14,4,2017,1,0,No_Holiday,0,None
2017-04-10,health_beauty,10.0,0,15,4,2017,0,0,No_Holiday,0,None
2017-04-11,health_beauty,6.0,1,15,4,2017,0,0,No_Holiday,0,None
2017-04-12,health_beauty,6.0,2,15,4,2017,0,0,No_Holiday,0,None
2017-04-13,health_beauty,5.0,3,15,4,2017,0,0,No_Holiday,0,None
2017-04-14,health_beauty,3.0,4,15,4,2017,0,0,No_Holiday,0,None
2017-04-15,health_beauty,2.0,5,15,4,2017,1,0,No_Holiday,0,None
2017-04-16,health_beauty,3.0,6,15,4,2017,1,0,No_Holiday,0,None
2017-04-17,health_beauty,6.0,0,16,4,2017,0,0,No_Holiday,0,None
2017-04-18,health_beauty,1.0,1,16,4,2017,0,0,No_Holiday,0,None
2017-04-19,health_beauty,7.0,2,16,4,2017,0,0,No_Holiday,0,None
2017-04-20,health_beauty,7.0,3,16,4,2017,0,0,No_Holiday,0,None
2017-04-21,health_beauty,2.0,4,16,4,2017,0,0,No_Holiday,0,None
2017-04-22,health_beauty,11.0,5,16,4,2017,1,0,No_Holiday,0,None
2017-04-23,health_beauty,10.0,6,16,4,2017,1,0,No_Holiday,0,None
2017-04-24,health_beauty,12.0,0,17,4,2017,0,0,No_Holiday,0,None
2017-04-25,health_beauty,7.0,1,17,4,2017,0,0,No_Holiday,0,None
2017-04-26,health_beauty,10.0,2,17,4,2017,0,0,No_Holiday,0,None
2017-04-27,health_beauty,2.0,3,17,4,2017,0,0,No_Holiday,0,None
2017-04-28,health_beauty,6.0,4,17,4,2017,0,0,No_Holiday,0,None
2017-04-29,health_beauty,9.0,5,17,4,2017,1,0,No_Holiday,0,None
2017-04-30,health_beauty,6.0,6,17,4,2017,1,0,No_Holiday,0,None
2017-05-01,health_beauty,11.0,0,18,5,2017,0,0,No_Holiday,0,None
2017-05-02,health_beauty,10.0,1,18,5,2017,0,0,No_Holiday,0,None
2017-05-03,health_beauty,9.0,2,18,5,2017,0,0,No_Holiday,0,None
2017-05-04,health_beauty,13.0,3,18,5,2017,0,0,No_Holiday,0,None
2017-05-05,health_beauty,11.0,4,18,5,2017,0,0,No_Holiday,0,None
2017-05-06,health_beauty,7.0,5,18,5,2017,1,0,No_Holiday,0,None
2017-05-07,health_beauty,9.0,6,18,5,2017,1,0,No_Holiday,0,None
2017-05-08,health_beauty,8.0,0,19,5,2017,0,0,No_Holiday,0,None
2017-05-09,health_beauty,7.0,1,19,5,2017,0,0,No_Holiday,0,None
2017-05-10,health_beauty,8.0,2,19,5,2017,0,0,No_Holiday,0,None
2017-05-11,health_beauty,11.0,3,19,5,2017,0,0,No_Holiday,0,None
2017-05-12,health_beauty,11.0,4,19,5,2017,0,0,No_Holiday,0,None
2017-05-13,health_beauty,2.0,5,19,5,2017,1,0,No_Holiday,0,None
2017-05-14,health_beauty,15.0,6,19,5,2017,1,0,No_Holiday,0,None
2017-05-15,health_beauty,8.0,0,20,5,2017,0,0,No_Holiday,0,None
2017-05-16,health_beauty,12.0,1,20,5,2017,0,0,No_Holiday,0,None
2017-05-17,health_beauty,7.0,2,20,5,2017,0,0,No_Holiday,0,None
2017-05-18,health_beauty,6.0,3,20,5,2017,0,0,No_Holiday,0,None
2017-05-19,health_beauty,14.0,4,20,5,2017,0,0,No_Holiday,0,None
2017-05-20,health_beauty,0.0,5,20,5,2017,1,0,No_Holiday,0,None
2017-05-21,health_beauty,12.0,6,20,5,2017,1,0,No_Holiday,0,None
2017-05-22,health_beauty,16.0,0,21,5,2017,0,0,No_Holiday,0,None
2017-05-23,health_beauty,8.0,1,21,5,2017,0,0,No_Holiday,0,None
2017-05-24,health_beauty,6.0,2,21,5,2017,0,0,No_Holiday,0,None
2017-05-25,health_beauty,4.0,3,21,5,2017,0,0,No_Holiday,0,None
2017-05-26,health_beauty,7.0,4,21,5,2017,0,0,No_Holiday,0,None
2017-05-27,health_beauty,11.0,5,21,5,2017,1,0,No_Holiday,0,None
2017-05-28,health_beauty,5.0,6,21,5,2017,1,0,No_Holiday,0,None
2017-05-29,health_beauty,13.0,0,22,5,2017,0,0,No_Holiday,0,None
2017-05-30,health_beauty,5.0,1,22,5,2017,0,0,No_Holiday,0,None
2017-05-31,health_beauty,18.0,2,22,5,2017,0,0,No_Holiday,0,None
2017-06-01,health_beauty,14.0,3,22,6,2017,0,0,No_Holiday,0,None
2017-06-02,health_beauty,6.0,4,22,6,2017,0,0,No_Holiday,0,None
2017-06-03,health_beauty,13.0,5,22,6,2017,1,0,No_Holiday,0,None
2017-06-04,health_beauty,10.0,6,22,6,2017,1,0,No_Holiday,0,None
2017-06-05,health_beauty,6.0,0,23,6,2017,0,0,No_Holiday,0,None
2017-06-06,health_beauty,12.0,1,23,6,2017,0,0,No_Holiday,0,None
2017-06-07,health_beauty,8.0,2,23,6,2017,0,0,No_Holiday,0,None
2017-06-08,health_beauty,14.0,3,23,6,2017,0,0,No_Holiday,0,None
2017-06-09,health_beauty,7.0,4,23,6,2017,0,0,No_Holiday,0,None
2017-06-10,health_beauty,4.0,5,23,6,2017,1,0,No_Holiday,0,None
2017-06-11,health_beauty,3.0,6,23,6,2017,1,0,No_Holiday,0,None
