Level,Category_Name,Product_Name,Forecast_Month,Forecast_Demand
Category,Gardening,ALL,2017-07-01,667113.0
Category,Gardening,ALL,2017-08-01,765213.0
Category,Gardening,ALL,2017-09-01,589651.0
Category,Gardening,ALL,2017-10-01,641832.0
Category,Gardening,ALL,2017-11-01,639274.0
Category,Gardening,ALL,2017-12-01,745277.0
Category,General_Merchandise,ALL,2017-01-01,937263.0
Category,General_Merchandise,ALL,2017-02-01,690542.0
Category,General_Merchandise,ALL,2017-03-01,922274.0
Category,General_Merchandise,ALL,2017-04-01,871489.0
Category,General_Merchandise,ALL,2017-05-01,706223.0
Category,General_Merchandise,ALL,2017-06-01,887070.0
Category,General_Merchandise,ALL,2017-07-01,1124378.0
Category,General_Merchandise,ALL,2017-08-01,810727.0
Category,General_Merchandise,ALL,2017-09-01,866159.0
Category,General_Merchandise,ALL,2017-10-01,979863.0
Category,General_Merchandise,ALL,2017-11-01,967023.0
Category,General_Merchandise,ALL,2017-12-01,971646.0
Category,Hardware,ALL,2017-01-01,4662.0
Category,Hardware,ALL,2017-02-01,0.0
Category,Hardware,ALL,2017-03-01,3313.0
Category,Hardware,ALL,2017-04-01,1639.0
Category,Hardware,ALL,2017-05-01,1538.0
Category,Hardware,ALL,2017-06-01,1749.0
Category,Hardware,ALL,2017-07-01,1587.0
Category,Hardware,ALL,2017-08-01,3595.0
Category,Hardware,ALL,2017-09-01,305.0
Category,Hardware,ALL,2017-10-01,0.0
Category,Hardware,ALL,2017-11-01,272.0
Category,Hardware,ALL,2017-12-01,930.0
Category,Healthcare,ALL,2017-02-01,0.0
Category,Healthcare,ALL,2017-03-01,392.0
Category,Healthcare,ALL,2017-04-01,495.0
Category,Healthcare,ALL,2017-05-01,1151.0
Category,Healthcare,ALL,2017-06-01,584.0
Category,Healthcare,ALL,2017-07-01,427.0
Category,Healthcare,ALL,2017-08-01,172.0
Category,Healthcare,ALL,2017-09-01,1174.0
Category,Healthcare,ALL,2017-10-01,5570.0
Category,Healthcare,ALL,2017-11-01,2996.0
Category,Healthcare,ALL,2017-12-01,3313.0
Category,Healthcare,ALL,2018-01-01,2378.0
Category,Home_Appliances,ALL,2017-02-01,3925101.0
Category,Home_Appliances,ALL,2017-03-01,4510330.0
Category,Home_Appliances,ALL,2017-04-01,4575592.0
Category,Home_Appliances,ALL,2017-05-01,5683317.0
Category,Home_Appliances,ALL,2017-06-01,6587953.0
Category,Home_Appliances,ALL,2017-07-01,4406931.0
Category,Home_Appliances,ALL,2017-08-01,4671317.0
Category,Home_Appliances,ALL,2017-09-01,5142645.0
Category,Home_Appliances,ALL,2017-10-01,4645915.0
Category,Home_Appliances,ALL,2017-11-01,6713885.0
Category,Home_Appliances,ALL,2017-12-01,5165136.0
Category,Home_Appliances,ALL,2018-01-01,0.0
Category,Kitchenware,ALL,2017-01-01,594.0
Category,Kitchenware,ALL,2017-02-01,289.0
Category,Kitchenware,ALL,2017-03-01,310.0
Category,Kitchenware,ALL,2017-04-01,403.0
Category,Kitchenware,ALL,2017-05-01,343.0
Category,Kitchenware,ALL,2017-06-01,302.0
Category,Kitchenware,ALL,2017-07-01,356.0
Category,Kitchenware,ALL,2017-08-01,335.0
Category,Kitchenware,ALL,2017-09-01,151.0
Category,Kitchenware,ALL,2017-10-01,231.0
Category,Kitchenware,ALL,2017-11-01,328.0
Category,Kitchenware,ALL,2017-12-01,202.0
Category,Lighting,ALL,2017-01-01,169.0
Category,Lighting,ALL,2017-02-01,171.0
Category,Lighting,ALL,2017-03-01,241.0
Category,Lighting,ALL,2017-04-01,214.0
Category,Lighting,ALL,2017-05-01,210.0
Category,Lighting,ALL,2017-06-01,148.0
Category,Lighting,ALL,2017-07-01,246.0
Category,Lighting,ALL,2017-08-01,194.0
Category,Lighting,ALL,2017-09-01,197.0
Category,Lighting,ALL,2017-10-01,159.0
Category,Lighting,ALL,2017-11-01,116.0
Category,Lighting,ALL,2017-12-01,117.0
Category,Medicine,ALL,2017-01-01,1459.0
Category,Medicine,ALL,2017-02-01,2661.0
Category,Medicine,ALL,2017-03-01,3303.0
Category,Medicine,ALL,2017-04-01,2615.0
Category,Medicine,ALL,2017-05-01,3583.0
Category,Medicine,ALL,2017-06-01,2103.0
Category,Medicine,ALL,2017-07-01,2976.0
Category,Medicine,ALL,2017-08-01,3048.0
Category,Medicine,ALL,2017-09-01,4096.0
Category,Medicine,ALL,2017-10-01,5805.0
Category,Medicine,ALL,2017-11-01,5289.0
Category,Medicine,ALL,2017-12-01,4454.0
Category,Mobile_Devices,ALL,2016-01-01,2159.0
Category,Mobile_Devices,ALL,2016-02-01,1481.0
Category,Mobile_Devices,ALL,2016-03-01,2337.0
Category,Mobile_Devices,ALL,2016-04-01,1911.0
Category,Mobile_Devices,ALL,2016-05-01,1463.0
Category,Mobile_Devices,ALL,2016-06-01,2903.0
Category,Mobile_Devices,ALL,2016-07-01,1934.0
